"출처DB","업체명","분류","전화","휴대폰","이메일","주소","시/도","구/군","상태","메모","다음연락일","저장일"
"mobile","따숨","다이어트,비만","010-4255-0706","010-4255-0706","","충남 공주시 무령로 231","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","신나는점핑다이어트","다이어트,비만","010-4255-1949","010-4255-1949","","충남 서산시 고운로 280","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","우리동네힐링샵 충남서산점","우리동네힐링샵","010-2484-5756","010-2484-5756","","충남 서산시 읍내1로 35","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","우리동네힐링샵 서산석림점","우리동네힐링샵","010-7913-4840","010-7913-4840","","충남 서산시 중앙로 132","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","수기마사지","체형관리","010-3839-4236","010-3839-4236","","충남 서산시 한마음4로 32","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","디데이점핑다이어트","다이어트,비만","010-9522-8037","010-9522-8037","","충남 서산시 부춘1로 24-9","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","파비스애니원 서산점","다이어트,비만","010-5420-3871","010-5420-3871","","충남 서산시 고운로 78","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","귀족테라피","체형관리","010-6468-8131","010-6468-8131","","충남 서산시 덕지천로 30","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","서산금강산보석사우나내마사지","체형관리","010-3066-9903","010-3066-9903","","충남 서산시 서해로 3370","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","중국황실마사지","체형관리","010-3903-8592","010-3903-8592","","충남 논산시 계백로 1016","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","건웰빙스포츠마사지","체형관리","010-4545-1325","010-4545-1325","","충남 논산시 시민로194번길 16","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","미라클핏다이어트","다이어트,비만","010-3692-0603","010-3692-0603","","충남 논산시 시민로319번길 9-18","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","하은테라피","체형관리","010-4997-6335","010-4997-6335","","충남 논산시 연무읍 동안로888번길 19","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","온열카페36.5","다이어트,비만","010-9217-5917","010-9217-5917","","충남 공주시 무령로 142","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","바른몸사랑","체형관리","010-2911-9112","010-2911-9112","","충남 금산군 금산읍 금산천길 98","충남","금산군","미연락","","","2026-06-15 21:19:36"
"mobile","새싹콩허브다이어트","다이어트,비만","010-9199-2375","010-9199-2375","","충남 공주시 한적2길 51-12","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","유진쑥뜸 본점","체형관리","010-6252-9325","010-6252-9325","","충남 보령시 중앙로 105","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","동네점핑","다이어트,비만","010-3359-1731","010-3359-1731","","충남 보령시 한내로 39","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","카페드 슬리밍고 보령중앙점","체형관리","010-8800-7597","010-8800-7597","","충남 보령시 명천로 91","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","백산활법마사지","대체의학","010-4347-1287","010-4347-1287","","충남 보령시 대청로 135","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","중국정통마사지","체형관리","010-5488-3852","010-5488-3852","","충남 당진시 합덕읍 합우로 121","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","명의벌침원","체형관리","010-8821-4458","010-8821-4458","","충남 당진시 합덕읍 운곡길 40","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","우리동네라라체험샵 홍성내포점","체형관리","010-2819-1692","010-2819-1692","","충남 홍성군 홍성읍 충절로1053번길 10","충남","홍성군","미연락","","","2026-06-15 21:19:36"
"mobile","유니시티","다이어트,비만","010-5451-1762","010-5451-1762","","충남 홍성군 홍성읍 충절로 1042","충남","홍성군","미연락","","","2026-06-15 21:19:36"
"mobile","내포체형교정원","체형관리","010-5466-2365","010-5466-2365","","충남 홍성군 홍북읍 청사로150번길 20","충남","홍성군","미연락","","","2026-06-15 21:19:36"
"mobile","왕궁약손","체형관리","010-8717-1992","010-8717-1992","","충남 부여군 부여읍 석탑로 25","충남","부여군","미연락","","","2026-06-15 21:19:36"
"mobile","태국정통마사지","체형관리","010-6600-5077","010-6600-5077","","충남 부여군 부여읍 사비로 112","충남","부여군","미연락","","","2026-06-15 21:19:36"
"mobile","하이점핑","다이어트,비만","010-7931-7969","010-7931-7969","","충남 부여군 부여읍 석탑로 63","충남","부여군","미연락","","","2026-06-15 21:19:36"
"mobile","윤선생우리집앞영어교실 천안불당이안","윤선생우리집앞영어교실","010-9927-0120","010-9927-0120","","충남 천안시 서북구 불당23로 13","충남","천안시","미연락","","","2026-06-15 21:19:36"
"mobile","예은전기학원","학원","010-4177-6796","010-4177-6796","","충남 천안시 서북구 성정공원5로 35","충남","천안시","미연락","","","2026-06-15 21:19:36"
"mobile","아트앤하트 천안풍세한양수자인","미술학원","010-9444-4864","010-9444-4864","","충남 천안시 동남구 풍세면 풍세산단로 290","충남","천안시","미연락","","","2026-06-15 21:19:36"
"mobile","GnB어학원 신방캠퍼스","GnB어학원","010-4883-0594","010-4883-0594","","충남 천안시 동남구 서부대로 264-3","충남","천안시","미연락","","","2026-06-15 21:19:36"
